Frecuencia_Hz,Magnitud
156.2,26471.5600
468.8,14385.5500
781.2,10328.1000
1093.8,5676.4100
1406.2,4479.9500
1718.8,5151.8600
2031.2,3864.1100
2343.8,3793.6200
2656.2,3004.9400
2968.8,2528.7700
3281.2,2690.6000
3593.8,2528.1300
3906.2,2062.2400
4218.8,1896.5900
4531.2,2122.2600
4843.8,1642.2900
5156.2,1633.4100
5468.8,2360.7900
5781.2,1843.2000
6093.8,2050.0400
6406.2,2246.4100
6718.8,2360.7000
7031.2,3507.5400
7343.8,2464.5200
7656.2,1969.2800
7968.8,1897.9300
8281.2,1623.5500
8593.8,1435.0400
8906.2,1391.1800
9218.8,1185.9700
9531.2,1233.1700
9843.8,1207.1000
